,lon,lat,z1p0,z2p5,sigma,vs30,v22p12,v22p11,v22p4,v22p2,v21p6,v21p1,v20p9,v20p6,v20p5,v20p4
MPSS,172.6423,-43.4994,0.695,2.875,0.3,173.333142710246,False,False,False,False,True,True,True,True,True,True
MORS,172.6214,-43.5395,0.475,2.125,0.3,172.267623357813,False,False,False,False,True,True,True,True,True,True
MTPS,172.7256,-43.5847,0.065,1.875,0.3,809.7708061461,False,False,False,False,True,True,True,True,True,True
ECLS,178.5482,-37.6888,0.085,9.225,0.5,455.000001026964,False,False,False,False,False,False,True,True,True,True
HCDS,176.8429,-39.6458,0.315,5.125,0.3,199.05928134123,False,True,False,False,False,False,True,True,True,True
NNBS,172.718,-43.4954,0.685,2.175,0.3,204.625520284176,False,False,True,False,True,True,True,True,True,True
LCQC,172.7297,-43.6086,0.055,1.375,0.3,251.958156891007,False,False,False,False,True,True,True,True,True,True
TOKS,172.7808,-43.8224,0.005,1.925,0.3,690.980697877097,False,False,False,False,True,True,True,True,True,True
RPCS,176.3438,-38.438,0.065,1.425,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
TUZ,169.6311,-45.954,0.065,0.325,0.5,883.093498354294,False,False,True,True,False,False,True,True,True,True
UTKS,175.8378,-39.7464,0.045,0.325,0.5,455.000000003754,True,True,False,False,False,False,True,True,True,True
LNBS,174.9266,-41.205,0.125,0.325,0.3,321.028905059292,True,True,True,False,False,True,True,True,True,True
KHZ,173.539,-42.416,0.065,1.175,0.3,357.989417770733,True,True,True,False,True,True,True,True,True,True
OAMS,170.9691,-45.0997,0.075,1.175,0.3,240.000000074944,False,False,True,True,False,False,False,True,False,True
LBZ,170.1844,-44.3856,0.065,0.325,0.5,811.059878028622,False,False,True,True,False,False,False,True,False,True
DUNS,170.4706,-45.9052,0.045,0.325,0.5,513.148304258022,False,False,True,True,False,False,True,True,False,True
RLNS,166.6859,-45.6876,0.035,1.175,0.5,690.974348966226,False,False,True,True,False,False,True,True,True,True
KIRS,175.23,-41.0769,0.065,0.325,0.5,499.999999620459,True,True,True,False,False,True,True,True,True,True
LHUS,174.8936,-41.2308,0.245,0.325,0.3,210.625142909533,True,True,True,False,False,True,True,True,True,True
TOZ,175.5018,-37.731,0.045,0.375,0.3,774.598237295785,False,False,False,False,False,False,True,True,True,True
TIRS,175.9097,-38.4689,0.055,1.425,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
WTMC,173.0536,-42.6195,0.485,1.525,0.3,500.000000000215,True,True,True,False,True,True,True,True,True,True
TBCS,176.1567,-37.7027,0.065,0.775,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
WSTS,174.7845,-41.2781,0.255,0.325,0.3,266.729370487207,True,True,True,False,False,True,True,True,True,True
ROTS,176.2552,-38.1357,0.095,2.475,0.5,499.999999999613,False,False,False,False,False,False,True,True,True,True
MAGS,174.726,-36.8853,0.055,1.075,0.5,455.0,False,False,False,False,False,False,True,True,True,True
BSWZ,173.8757,-41.7149,0.035,0.875,0.5,690.974348966211,True,True,True,False,True,True,True,True,True,True
CMWZ,174.2138,-41.749,0.095,5.325,0.3,455.0,True,True,True,False,True,True,True,True,True,True
AKUS,174.7705,-36.8532,0.055,1.175,0.5,455.0,False,False,False,False,False,False,True,True,True,True
